% Model,HUR_model_weather_Jyvaskyla.mph
% Version,COMSOL 5.4.0.388
% Date,"Oct 14 2019, 18:31"
% Table,Table 4 - Line Average 3 (ht.alphaTdxx)
% Time (h),"Thermal diffusivity, xx component (m^2/s)"
431,9.926470588235297E-7
432,9.926470588235297E-7
433,9.926470588235297E-7
434,9.926470588235297E-7
435,9.926470588235297E-7
436,9.926470588235297E-7
437,9.926470588235297E-7
438,9.926470588235297E-7
439,9.926470588235297E-7
440,9.926470588235297E-7
441,9.926470588235297E-7
442,9.926470588235297E-7
443,9.926470588235297E-7
444,9.926470588235297E-7
445,9.926470588235297E-7
446,9.926470588235297E-7
447,9.926470588235297E-7
448,9.926470588235297E-7
449,9.926470588235297E-7
450,9.926470588235297E-7
451,9.926470588235297E-7
452,9.926470588235297E-7
453,9.926470588235297E-7
454,9.926470588235297E-7
455,9.926470588235297E-7
456,9.926470588235297E-7
457,9.926470588235297E-7
458,9.926470588235297E-7
459,9.926470588235297E-7
460,9.926470588235297E-7
461,9.926470588235297E-7
462,9.926470588235297E-7
463,9.926470588235297E-7
464,9.926470588235297E-7
465,9.926470588235297E-7
466,9.926470588235297E-7
467,9.926470588235297E-7
468,9.926470588235297E-7
469,9.926470588235297E-7
470,9.926470588235297E-7
471,9.926470588235297E-7
472,9.926470588235297E-7
473,9.926470588235297E-7
474,9.926470588235297E-7
475,9.926470588235297E-7
476,9.926470588235297E-7
477,9.926470588235297E-7
478,9.926470588235297E-7
479,9.926470588235297E-7
480,9.926470588235297E-7
481,9.926470588235297E-7
482,9.926470588235297E-7
483,9.926470588235297E-7
484,9.926470588235297E-7
485,9.926470588235297E-7
486,9.926470588235297E-7
487,9.926470588235297E-7
488,9.926470588235297E-7
489,9.926470588235297E-7
490,9.926470588235297E-7
491,9.926470588235297E-7
492,9.926470588235297E-7
493,9.926470588235297E-7
494,9.926470588235297E-7
495,9.926470588235297E-7
496,9.926470588235297E-7
497,9.926470588235297E-7
498,9.926470588235297E-7
499,9.926470588235297E-7
500,9.926470588235297E-7
501,9.926470588235297E-7
502,9.926470588235297E-7
503,9.926470588235297E-7
504,9.926470588235297E-7
505,9.926470588235297E-7
506,9.926470588235297E-7
507,9.926470588235297E-7
508,9.926470588235297E-7
509,9.926470588235297E-7
510,9.926470588235297E-7
511,9.926470588235297E-7
512,9.926470588235297E-7
513,9.926470588235297E-7
514,9.926470588235297E-7
515,9.926470588235297E-7
516,9.926470588235297E-7
517,9.926470588235297E-7
518,9.926470588235297E-7
519,9.926470588235297E-7
520,9.926470588235297E-7
521,9.926470588235297E-7
522,9.926470588235297E-7
523,9.926470588235297E-7
524,9.926470588235297E-7
525,9.926470588235297E-7
526,9.926470588235297E-7
527,9.926470588235297E-7
528,9.926470588235297E-7
529,9.926470588235297E-7
530,9.926470588235297E-7
531,9.926470588235297E-7
532,9.926470588235297E-7
533,9.926470588235297E-7
534,9.926470588235297E-7
535,9.926470588235297E-7
536,9.926470588235297E-7
537,9.926470588235297E-7
538,9.926470588235297E-7
